db_id,playlist_id,name,description,category,video_count,created_at,last_updated,classification_source,human_verified,is_human_validated,competitor_id,competitor_name,country
194,PLdgCSoJzrmKEU6-my9oAZNlEtKZsdCbDX,Travel Blog | Expedia Viewfinder,"Welcome to the Expedia Viewfinder playlist. Here you'll find info, insider tips, and recommendations about some of the top destinations from around the world. Our group of resident viewfinders come from a variety of backgrounds, from family to luxurious to solo to LGBT travelers, bringing you expert advice about their favorite destinations around the world. No matter where you come from or how you travel, they have a view for you.",hub,39,2025-07-09 19:53:43.344282,2025-07-21 22:07:47,human,True,False,1,Expedia,International
5,PLQF0g2Fjoa9SYL6xKxBJn7K999f0M7YAG,Top Hotels in the US,"For the perfect stay in the USA, Booking.com’s got you covered! Our top hotels are rated high for their hospitality, features and amenities. Combine that with proximity to popular landmarks, and you’ve got a winner! Book a stay today at Booking.com.",help,39,2025-07-05 16:48:04.248885,2025-07-21 22:07:47,human,True,False,8,Booking.com,International
52,PL0i3nKXRS-DDDsCgJ9Y6lyalgBcaUd8sK,What's up Club Med ?,Have a look at our newest Resorts and latest renovations!,hub,35,2025-07-05 17:34:20.953951,2025-07-21 22:07:47,human,True,False,6,Club Med,France
94,PLngX0v3VjNHI-V0n_zS7OuOCFE1qAd4Jz,Binnenkijken | Parken,Kijk mee en ontdek onze verschillende bestemmingen.,hero,35,2025-07-09 19:22:44.087026,2025-07-21 22:07:47,ai,False,False,11,Roompot,Netherlands
270,PLZdK_emUC9UzvMCEF_adTKmKkI-FrY7UF,Nos campings-villages en France,"Plutôt Corse, Côte d'Azur, Bretagne, Côte Atlantique, Région parisienne ou Occitanie ? Retrouvez tous les campings-villages Homair Vacances en France : bit.ly/homair-campFr",hub,35,2025-07-12 22:52:54.963601,2025-07-21 22:07:47,human,True,False,16,HOMAIR,France
134,PLu_CKZK3SEq-69z2NpSbZNzKJvJuaJAEa,Discover our Destinations: Cities,,hub,33,2025-07-09 19:38:41.987364,2025-07-21 22:07:47,human,True,False,4,Marriott Bonvoy,International
272,PLZkZsSK33kzLaMaSBNuFq6deP-Ll0I-pb,"Belambra, Au plus vrai des vacances - Campagne Eté 2025",On s'habitue vite à la restauration gourmande chez Belambra !,hero,33,2025-07-12 22:55:05.363899,2025-07-21 22:07:47,human,True,False,14,Belambra,France
21,PL73P7QjiWmZjFCwlXxpHxPCr4qr7CzjBM,Landal TV,"Met Landal TV brengen wij ons populaire Fun & Entertainment-programma gewoon bij jou thuis! Kids kunnen thuis aan de slag met fantastische knutsels, heerlijke recepten, genieten van voorleesmomenten met Bollo en nog véél meer!",hub,32,2025-07-05 17:12:55.884335,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
95,PLngX0v3VjNHLMUWjjcUHmUlPonCWs_yjg,Koos,,hub,31,2025-07-09 19:22:44.087061,2025-07-21 22:07:47,ai,False,False,11,Roompot,Netherlands
191,PLdgCSoJzrmKGpVH1P4gs6CZsPbdVFeR_1,One Day in an Amazing City,,hub,30,2025-07-09 19:53:43.344232,2025-07-21 22:07:47,human,True,False,1,Expedia,International
50,PL0i3nKXRS-DBIw734PDXbpvHmsDIWK85L,(Y)our vision,Immerse yourself in the Club Med spirit!,hero,30,2025-07-05 17:34:20.953881,2025-07-21 22:07:47,human,True,False,6,Club Med,France
76,PLLV950EiSCvMy8pQANyglGvaXorQj42Bv,Off the Menu,"See the beauty of staying with Hilton through a culinary lens. You'll meet our culinary Team Members, who show you how they put passion and pride into their recipes and the restaurants.

Hilton. For The Stay.",hub,29,2025-07-09 18:38:20.435463,2025-07-21 22:07:47,human,True,False,3,Hilton,International
131,PLu_CKZK3SEq9sZMO40iTjcVuqjxGciS6l,Get to Know Marriott Bonvoy,,help,26,2025-07-09 19:38:41.987130,2025-07-21 22:07:47,human,True,False,4,Marriott Bonvoy,International
205,PLdgCSoJzrmKEjJ3ThUmzq75F9j-w-wTyQ,Korea | Expedia,,hub,25,2025-07-09 19:53:43.344460,2025-07-21 22:07:47,human,True,False,1,Expedia,International
122,PLu_CKZK3SEq-uaHmNV7MSypAecZKJYYze,了解万豪旅享家,,help,25,2025-07-09 19:38:41.986036,2025-07-21 22:07:47,human,True,False,4,Marriott Bonvoy,International
123,PLu_CKZK3SEq_Fe_DSyxd9NV-4OAZ7e2mX,Entdecken Sie Marriott Bonvoy,,help,25,2025-07-09 19:38:41.986112,2025-07-21 22:07:47,human,True,False,4,Marriott Bonvoy,International
124,PLu_CKZK3SEq8c7m0cblzf10qKN3qp5c5b,Découvrez Marriott Bonvoy,,hub,25,2025-07-09 19:38:41.986185,2025-07-21 22:07:47,ai,False,False,4,Marriott Bonvoy,International
125,PLu_CKZK3SEq-TIFj0Ah_wsLNq1SlIgIAL,‫تعرّف على‫Marriott Bonvoy,,hub,25,2025-07-09 19:38:41.986258,2025-07-21 22:07:47,ai,False,False,4,Marriott Bonvoy,International
126,PLu_CKZK3SEq8ov7K2w51c5acF4NiuXivR,Conozca Marriott Bonvoy,,hub,25,2025-07-09 19:38:41.986337,2025-07-21 22:07:47,ai,False,False,4,Marriott Bonvoy,International
29,PL73P7QjiWmZinpP-NXlWtQOCkQcgIGfu7,Landal Ski Life,,hub,25,2025-07-05 17:12:55.884866,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
220,PLjjUTxMsgMmey-vnc32ovMoGKDXrI-TN4,Park Primeur | Center Parcs,"Bij Center Parcs doen we er alles aan om je de mooiste vakantieherinneringen te bezorgen. We verrassen je steeds weer met vernieuwde cottages, compleet nieuwe parken en nieuwe activiteiten. In de Park Primeur video's lichten we deze vernieuwingen uit zodat jij volledig op de hoogte blijft! 

Bekijk naast de Park Primeur video's ook deze pagina waar alle vernieuwingen te vinden zijn: https://www.centerparcs.nl/nl-nl/nieuwe-standaard_sck",hub,25,2025-07-09 20:17:20.313571,2025-07-21 22:07:47,ai,False,False,9,Center Parcs,Netherlands
284,PLZkZsSK33kzKQ4qr2E5KqJevabdrPKcqx,Team Belambra,"La parole est donnée au équipes des Clubs Belambra ! Aux petits soins pour nos clients, nos équipes qualifiées et professionnelles sont toujours disponibles pour faire de votre séjour une réussite.",hub,25,2025-07-12 22:55:05.369887,2025-07-21 22:07:47,human,True,False,14,Belambra,France
103,PLSJ_YwCMBTtY1XQKotDF95tQjSkhjUGzO,France 3 📺,,hub,24,2025-07-09 19:36:43.349102,2025-07-09 22:15:23.081426,ai,False,False,10,VVF,France
320,PLOZNuB-7l6V4IRReEa1ys9zRAWA7r4r0b,Nos Villages,Découvrez en vidéos nos 29 villages en France,,23,2025-07-12 22:55:20.689455,2025-07-21 22:07:47,ai,False,False,15,Siblu Villages,France
201,PLdgCSoJzrmKHvd8a3lMwyYuBiE-MB86yU,Popular Destinations,,hub,22,2025-07-09 19:53:43.344391,2025-07-21 22:07:47,human,True,False,1,Expedia,International
16,PL73P7QjiWmZigTXxs9t-O38R6sLI68Aez,De Avonturen van Bollo,"Bollo en zijn vriendjes Saar, Max, Bijtje en Egel nemen je mee de natuur in! Samen beleven ze vele avonturen. Zo gaan ze kamperen, schatzoeken, vliegeren, picknicken en nog veel meer. Kijk je mee?",hub,22,2025-07-05 17:12:55.884079,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
17,PL73P7QjiWmZhm8ypR5nfH0d8bzJjOPbVM,Landal Kids,"Het beste van Bollo's avonturen en Landal TV zodat je voor, tijdens en na je reis nog eventjes Echt Vakantie kunt vieren.",hero,22,2025-07-05 17:12:55.884127,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
41,PLC40C0FB05D1CC660,Parken in Duitsland,Video-impressies van de in Duitsland gelegen parken van Landal GreenParks.,hub,22,2025-07-05 17:12:55.885638,2025-07-21 22:07:47,ai,False,False,7,Landal,Netherlands
